combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,combination_current_price,combination_price_missing,component_sku,component_quantity,component_item_id,component_woo_id,component_target_key,combination_component_count,component_combination_count,relationship_type,possible_duplicate_component_woo_id,edge_rule,edge_confidence,propagation_status
3715,3623,0201003|0201003|0728001,"90x200x14,5 cm, Con 2 tatamis de 70x200 cm",521.70,NO,0201003,2,201003,,201003,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3714,3623,0201003|0201003|0728002,"140x200x14,5 cm, Con 2 tatamis de 70x200 cm",592.22,NO,0201003,2,201003,,201003,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3694,3622,0201003|0201003|0730001,"90x200x14,5 cm, Con 2 tatamis de 70x200 cm",583.70,NO,0201003,2,201003,,201003,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3693,3622,0201003|0201003|0730002,"140x200x14,5 cm, Con 2 tatamis de 70x200 cm",711.30,NO,0201003,2,201003,,201003,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3737,3624,0201004|0201004|0724001,"Con 2 tatamis de 76x200 cm, 90x200x14,5 cm",437.70,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3735,3624,0201004|0201004|0724003,"Con 2 tatamis de 76x200 cm, 140x200x14,5 cm",505.48,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3736,3624,0201004|0201004|0724004,"Con 2 tatamis de 76x200 cm, 150x200x14,5 cm",548.58,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3718,3623,0201004|0201004|0728001,"90x200x14,5 cm, Con 2 tatamis de 76x200 cm",521.70,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3716,3623,0201004|0201004|0728002,"140x200x14,5 cm, Con 2 tatamis de 76x200 cm",592.22,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3717,3623,0201004|0201004|0728003,"150x200x14,5 cm, Con 2 tatamis de 76x200 cm",603.58,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3697,3622,0201004|0201004|0730001,"90x200x14,5 cm, Con 2 tatamis de 76x200 cm",583.70,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3695,3622,0201004|0201004|0730002,"140x200x14,5 cm, Con 2 tatamis de 76x200 cm",711.30,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3696,3622,0201004|0201004|0730003,"150x200x14,5 cm, Con 2 tatamis de 76x200 cm",723.94,NO,0201004,2,201004,,201004,2,9,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3732,3624,0201010|0201010|0724001,"Con 2 tatamis de 100x200 cm, 90x200x14,5 cm",443.70,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3727,3624,0201010|0201010|0724003,"Con 2 tatamis de 100x200 cm, 140x200x14,5 cm",511.48,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3728,3624,0201010|0201010|0724004,"Con 2 tatamis de 100x200 cm, 150x200x14,5 cm",554.58,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3729,3624,0201010|0201010|0724005,"Con 2 tatamis de 100x200 cm, 160x200x14,5 cm",576.26,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
