combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,combination_current_price,combination_price_missing,component_sku,component_quantity,component_item_id,component_woo_id,component_target_key,combination_component_count,component_combination_count,relationship_type,possible_duplicate_component_woo_id,edge_rule,edge_confidence,propagation_status
3680,3618,0402012|0201002|0201002,"194x214x40 cm, 180x200 cm, Crudo, sin barniz, Con 2 tatamis de 90x200 cm",751.70,NO,0402012,1,402012,,402012,2,1,MANY_TO_ONE,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4232,3650,0502002|0724008,"Futón de algodón, 140x190x14,5 cm, Sin funda",684.54,NO,0502002,1,502002,,502002,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4236,3650,0502002|0724008|0608006,"Futón de algodón, 140x190x14,5 cm, Crudo",751.58,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4240,3650,0502002|0724008|0616006,"Futón de algodón, 140x190x14,5 cm, Negro",751.58,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
6292,3650,0502002|0724008|0617002,"Futón de algodón, 140x190x14,5 cm, Gris jaspeado",751.58,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
6293,3650,0502002|0724008|0619002,"Futón de algodón, 140x190x14,5 cm, Beige jaspeado",751.58,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
11123,3650,0502002|0724008|0619009,"Futón de algodón, 140x190x14,5 cm, Marrón",751.58,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4208,3650,0502002|0728007,"Futón con una capa de látex, 140x190x14,5 cm, Sin funda",764.42,NO,0502002,1,502002,,502002,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4212,3650,0502002|0728007|0608006,"Futón con una capa de látex, 140x190x14,5 cm, Crudo",831.42,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4216,3650,0502002|0728007|0616006,"Futón con una capa de látex, 140x190x14,5 cm, Negro",831.42,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
9456,3650,0502002|0728007|0617002,"Futón con una capa de látex, 140x190x14,5 cm, Gris jaspeado",831.42,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
6295,3650,0502002|0728007|0619002,"Futón con una capa de látex, 140x190x14,5 cm, Beige jaspeado",831.42,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
11125,3650,0502002|0728007|0619009,"Futón con una capa de látex, 140x190x14,5 cm, Marrón",831.42,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4220,3650,0502002|0730007,"Futón con dos capas de látex, 140x190x14,5 cm, Sin funda",912.50,NO,0502002,1,502002,,502002,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4224,3650,0502002|0730007|0608006,"Futón con dos capas de látex, 140x190x14,5 cm, Crudo",979.50,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4228,3650,0502002|0730007|0616006,"Futón con dos capas de látex, 140x190x14,5 cm, Negro",979.50,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
9457,3650,0502002|0730007|0617002,"Futón con dos capas de látex, 140x190x14,5 cm, Gris jaspeado",979.50,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
6294,3650,0502002|0730007|0619002,"Futón con dos capas de látex, 140x190x14,5 cm, Beige jaspeado",979.50,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
11126,3650,0502002|0730007|0619009,"Futón con dos capas de látex, 140x190x14,5 cm, Marrón",979.50,NO,0502002,1,502002,,502002,3,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4124,3649,0502005|0727007,"Futón con una capa de látex, 80x200x13 cm, Sin funda",478.74,NO,0502005,1,502005,,502005,2,12,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4128,3649,0502005|0727007|0608007,"Futón con una capa de látex, 80x200x13 cm, Crudo",550.74,NO,0502005,1,502005,,502005,3,12,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4132,3649,0502005|0727007|0616007,"Futón con una capa de látex, 80x200x13 cm, Negro",550.74,NO,0502005,1,502005,,502005,3,12,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
11132,3649,0502005|0727007|0619007,"Futón con una capa de látex, 80x200x13 cm, Marrón",550.74,NO,0502005,1,502005,,502005,3,12,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4136,3649,0502005|0730009,"Futón con dos capas de látex, 80x200x13 cm, Sin funda",532.94,NO,0502005,1,502005,,502005,2,12,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
