combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,woo_status,regular_price,sale_price,effective_price,price_missing,primary_component_rows,all_evidence_rows,distinct_component_count,component_skus,component_quantities,component_item_ids,component_woo_ids,exact_primary_edges,blocked_primary_edges,original_status,operational_status,quarantine_group_ids,quarantine_reason,quarantine_status,worker_review_status
7339,7332,0504011|0724003|0608002-1,"Futón de algodón, 140x200x14,5 cm, Crudo",publish,762.00,628.00,628.00,NO,3,3,3,0504011 | 0608002-1 | 0724003,0504011=1 | 0608002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7340,7332,0504011|0724003|0606002-1,"Futón de algodón, 140x200x14,5 cm, Granate",publish,762.00,628.00,628.00,NO,3,3,3,0504011 | 0606002-1 | 0724003,0504011=1 | 0606002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7341,7332,0504011|0730002|0607002-1,"Futón con dos capas de látex, 140x200x14,5 cm, Rojo",publish,992.00,830.00,830.00,NO,3,3,3,0504011 | 0607002-1 | 0730002,0504011=1 | 0607002-1=1 | 0730002=1,504011 | 730002,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7342,7332,0504011|0724003|0616002-1,"Futón de algodón, 140x200x14,5 cm, Negro",publish,762.00,628.00,628.00,NO,3,3,3,0504011 | 0616002-1 | 0724003,0504011=1 | 0616002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7343,7332,0504011|0724003|0607002-1,"Futón de algodón, 140x200x14,5 cm, Rojo",publish,762.00,628.00,628.00,NO,3,3,3,0504011 | 0607002-1 | 0724003,0504011=1 | 0607002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7344,7332,0504011|0724003|0614002-1,"Futón de algodón, 140x200x14,5 cm, Verde",publish,762.00,628.00,628.00,NO,3,3,3,0504011 | 0614002-1 | 0724003,0504011=1 | 0614002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7345,7332,0504011|0730002|0619002-1,"Futón con dos capas de látex, 140x200x14,5 cm, Beige jaspeado",publish,992,830,830,NO,3,3,3,0504011 | 0619002-1 | 0730002,0504011=1 | 0619002-1=1 | 0730002=1,504011 | 730002,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7346,7332,0504011|0730002|0617002-1,"Futón con dos capas de látex, 140x200x14,5 cm, Gris jaspeado",publish,992,830,830,NO,3,3,3,0504011 | 0617002-1 | 0730002,0504011=1 | 0617002-1=1 | 0730002=1,504011 | 730002,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7347,7332,0504011|0728002-1,"Futón con una capa de látex, 140x200x14,5 cm, Sin funda",publish,755.00,642.00,642.00,NO,2,2,2,0504011 | 0728002-1,0504011=1 | 0728002-1=1,504011,,1,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7348,7332,0504011|0728002|0615002-1,"Futón con una capa de látex, 140x200x14,5 cm, Amarillo",publish,853.00,712.00,712.00,NO,3,3,3,0504011 | 0615002-1 | 0728002,0504011=1 | 0615002-1=1 | 0728002=1,504011 | 728002,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7349,7332,0504011|0728002|0609002-1,"Futón con una capa de látex, 140x200x14,5 cm, Azul",publish,853.00,712.00,712.00,NO,3,3,3,0504011 | 0609002-1 | 0728002,0504011=1 | 0609002-1=1 | 0728002=1,504011 | 728002,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
