combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,woo_status,regular_price,sale_price,effective_price,price_missing,primary_component_rows,all_evidence_rows,distinct_component_count,component_skus,component_quantities,component_item_ids,component_woo_ids,exact_primary_edges,blocked_primary_edges,original_status,operational_status,quarantine_group_ids,quarantine_reason,price_cut_status,affected_woo_variation_ids,physical_components,exact_component_rows,publication_allowed
3691,3622,0201010|0201010|0730006,"200x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,907,778.52,778.52,NO,2,4,2,0201010 | 0730006,0201010=2 | 0730006=1,201010 | 730006,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3691,201010 | 730006,2,NO
3692,3622,0201010|0201010|0730001,"90x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,692,589.70,589.70,NO,2,4,2,0201010 | 0730001,0201010=2 | 0730001=1,201010 | 730001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3692,201010 | 730001,2,NO
3693,3622,0201003|0201003|0730002,"140x200x14,5 cm, Con 2 tatamis de 70x200 cm",publish,838,711.30,711.30,NO,2,4,2,0201003 | 0730002,0201003=2 | 0730002=1,201003 | 730002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3693,201003 | 730002,2,NO
3694,3622,0201003|0201003|0730001,"90x200x14,5 cm, Con 2 tatamis de 70x200 cm",publish,692,583.70,583.70,NO,2,4,2,0201003 | 0730001,0201003=2 | 0730001=1,201003 | 730001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3694,201003 | 730001,2,NO
3695,3622,0201004|0201004|0730002,"140x200x14,5 cm, Con 2 tatamis de 76x200 cm",publish,838,711.30,711.30,NO,2,4,2,0201004 | 0730002,0201004=2 | 0730002=1,201004 | 730002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3695,201004 | 730002,2,NO
3696,3622,0201004|0201004|0730003,"150x200x14,5 cm, Con 2 tatamis de 76x200 cm",publish,850,723.94,723.94,NO,2,4,2,0201004 | 0730003,0201004=2 | 0730003=1,201004 | 730003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3696,201004 | 730003,2,NO
3697,3622,0201004|0201004|0730001,"90x200x14,5 cm, Con 2 tatamis de 76x200 cm",publish,692,583.70,583.70,NO,2,4,2,0201004 | 0730001,0201004=2 | 0730001=1,201004 | 730001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3697,201004 | 730001,2,NO
3698,3622,0201001|0201001|0728004,"160x200x14,5 cm, Con 2 tatamis de 80x200 cm",publish,816.00,735.46,735.46,NO,2,4,2,0201001 | 0728004,0201001=2 | 0728004=1,201001 | 728004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3698,201001 | 728004,2,NO
3699,3622,0201001|0201001|0730002,"140x200x14,5 cm, Con 2 tatamis de 80x200 cm",publish,838,711.30,711.30,NO,2,4,2,0201001 | 0730002,0201001=2 | 0730002=1,201001 | 730002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3699,201001 | 730002,2,NO
3700,3622,0201001|0201001|0730003,"150x200x14,5 cm, Con 2 tatamis de 80x200 cm",publish,850,723.94,723.94,NO,2,4,2,0201001 | 0730003,0201001=2 | 0730003=1,201001 | 730003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3700,201001 | 730003,2,NO
3701,3622,0201001|0201001|0730004,"160x200x14,5 cm, Con 2 tatamis de 80x200 cm",publish,864,735.46,735.46,NO,2,4,2,0201001 | 0730004,0201001=2 | 0730004=1,201001 | 730004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3701,201001 | 730004,2,NO
3702,3622,0201001|0201001|0730001,"90x200x14,5 cm, Con 2 tatamis de 80x200 cm",publish,692,583.70,583.70,NO,2,4,2,0201001 | 0730001,0201001=2 | 0730001=1,201001 | 730001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3702,201001 | 730001,2,NO
3703,3622,0201002|0201002|0730002,"140x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,838,711.30,711.30,NO,2,4,2,0201002 | 0730002,0201002=2 | 0730002=1,201002 | 730002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3703,201002 | 730002,2,NO
3704,3622,0201002|0201002|0730003,"150x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,850,723.94,723.94,NO,2,4,2,0201002 | 0730003,0201002=2 | 0730003=1,201002 | 730003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3704,201002 | 730003,2,NO
3705,3622,0201002|0201002|0730004,"160x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,864,735.46,735.46,NO,2,4,2,0201002 | 0730004,0201002=2 | 0730004=1,201002 | 730004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3705,201002 | 730004,2,NO
3706,3622,0201002|0201002|0730005,"180x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,874,745.38,745.38,NO,2,4,2,0201002 | 0730005,0201002=2 | 0730005=1,201002 | 730005,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3706,201002 | 730005,2,NO
3707,3622,0201002|0201002|0730001,"90x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,692,583.70,583.70,NO,2,4,2,0201002 | 0730001,0201002=2 | 0730001=1,201002 | 730001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3707,201002 | 730001,2,NO
3708,3623,0201010|0201010|0728002,"140x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,685,598.22,598.22,NO,2,4,2,0201010 | 0728002,0201010=2 | 0728002=1,201010 | 728002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3708,201010 | 728002,2,NO
3709,3623,0201010|0201010|0728003,"150x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,699,609.58,609.58,NO,2,4,2,0201010 | 0728003,0201010=2 | 0728003=1,201010 | 728003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3709,201010 | 728003,2,NO
3710,3623,0201010|0201010|0728004,"160x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,789,686.14,686.14,NO,2,4,2,0201010 | 0728004,0201010=2 | 0728004=1,201010 | 728004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3710,201010 | 728004,2,NO
3711,3623,0201010|0201010|0728005,"180x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,854,742.22,742.22,NO,2,4,2,0201010 | 0728005,0201010=2 | 0728005=1,201010 | 728005,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3711,201010 | 728005,2,NO
3712,3623,0201010|0201010|0728006,"200x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,918,796.36,796.36,NO,2,4,2,0201010 | 0728006,0201010=2 | 0728006=1,201010 | 728006,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3712,201010 | 728006,2,NO
3713,3623,0201010|0201010|0728001,"90x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,617,527.70,527.70,NO,2,2,2,0201010 | 0728001,0201010=2 | 0728001=1,201010 | 728001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3713,201010 | 728001,2,NO
3714,3623,0201003|0201003|0728002,"140x200x14,5 cm, Con 2 tatamis de 70x200 cm",publish,685,592.22,592.22,NO,2,4,2,0201003 | 0728002,0201003=2 | 0728002=1,201003 | 728002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3714,201003 | 728002,2,NO
3715,3623,0201003|0201003|0728001,"90x200x14,5 cm, Con 2 tatamis de 70x200 cm",publish,617,521.70,521.70,NO,2,4,2,0201003 | 0728001,0201003=2 | 0728001=1,201003 | 728001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3715,201003 | 728001,2,NO
3716,3623,0201004|0201004|0728002,"140x200x14,5 cm, Con 2 tatamis de 76x200 cm",publish,685,592.22,592.22,NO,2,4,2,0201004 | 0728002,0201004=2 | 0728002=1,201004 | 728002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3716,201004 | 728002,2,NO
3717,3623,0201004|0201004|0728003,"150x200x14,5 cm, Con 2 tatamis de 76x200 cm",publish,699,603.58,603.58,NO,2,4,2,0201004 | 0728003,0201004=2 | 0728003=1,201004 | 728003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3717,201004 | 728003,2,NO
3718,3623,0201004|0201004|0728001,"90x200x14,5 cm, Con 2 tatamis de 76x200 cm",publish,617,521.70,521.70,NO,2,4,2,0201004 | 0728001,0201004=2 | 0728001=1,201004 | 728001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3718,201004 | 728001,2,NO
3719,3623,0201001|0201001|0728002,"140x200x14,5 cm, Con 2 tatamis de 80x200 cm",publish,685,592.22,592.22,NO,2,4,2,0201001 | 0728002,0201001=2 | 0728002=1,201001 | 728002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3719,201001 | 728002,2,NO
3720,3623,0201001|0201001|0728003,"150x200x14,5 cm, Con 2 tatamis de 80x200 cm",publish,699,603.58,603.58,NO,2,4,2,0201001 | 0728003,0201001=2 | 0728003=1,201001 | 728003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3720,201001 | 728003,2,NO
3721,3623,0201001|0201001|0728001,"90x200x14,5 cm, Con 2 tatamis de 80x200 cm",publish,617,521.70,521.70,NO,2,4,2,0201001 | 0728001,0201001=2 | 0728001=1,201001 | 728001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3721,201001 | 728001,2,NO
3722,3623,0201002|0201002|0728002,"140x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,685,592.22,592.22,NO,2,4,2,0201002 | 0728002,0201002=2 | 0728002=1,201002 | 728002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3722,201002 | 728002,2,NO
3723,3623,0201002|0201002|0728003,"150x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,699,603.58,603.58,NO,2,4,2,0201002 | 0728003,0201002=2 | 0728003=1,201002 | 728003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3723,201002 | 728003,2,NO
3724,3623,0201002|0201002|0728004,"160x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,789,680.14,680.14,NO,2,4,2,0201002 | 0728004,0201002=2 | 0728004=1,201002 | 728004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3724,201002 | 728004,2,NO
3725,3623,0201002|0201002|0728005,"180x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,854,736.22,736.22,NO,2,4,2,0201002 | 0728005,0201002=2 | 0728005=1,201002 | 728005,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3725,201002 | 728005,2,NO
3726,3623,0201002|0201002|0728001,"90x200x14,5 cm, Con 2 tatamis de 90x200 cm",publish,617,521.70,521.70,NO,2,2,2,0201002 | 0728001,0201002=2 | 0728001=1,201002 | 728001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3726,201002 | 728001,2,NO
3727,3624,0201010|0201010|0724003,"Con 2 tatamis de 100x200 cm, 140x200x14,5 cm",publish,584,511.48,511.48,NO,2,4,2,0201010 | 0724003,0201010=2 | 0724003=1,201010 | 724003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3727,201010 | 724003,2,NO
3728,3624,0201010|0201010|0724004,"Con 2 tatamis de 100x200 cm, 150x200x14,5 cm",publish,634,554.58,554.58,NO,2,4,2,0201010 | 0724004,0201010=2 | 0724004=1,201010 | 724004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3728,201010 | 724004,2,NO
3729,3624,0201010|0201010|0724005,"Con 2 tatamis de 100x200 cm, 160x200x14,5 cm",publish,660,576.26,576.26,NO,2,4,2,0201010 | 0724005,0201010=2 | 0724005=1,201010 | 724005,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3729,201010 | 724005,2,NO
3730,3624,0201010|0201010|0724006,"Con 2 tatamis de 100x200 cm, 180x200x14,5 cm",publish,668,582.96,582.96,NO,2,4,2,0201010 | 0724006,0201010=2 | 0724006=1,201010 | 724006,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3730,201010 | 724006,2,NO
3731,3624,0201010|0201010|0724007,"Con 2 tatamis de 100x200 cm, 200x200x14,5 cm",publish,694,606.70,606.70,NO,2,4,2,0201010 | 0724007,0201010=2 | 0724007=1,201010 | 724007,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3731,201010 | 724007,2,NO
3732,3624,0201010|0201010|0724001,"Con 2 tatamis de 100x200 cm, 90x200x14,5 cm",publish,514,443.70,443.70,NO,2,4,2,0201010 | 0724001,0201010=2 | 0724001=1,201010 | 724001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3732,201010 | 724001,2,NO
3733,3624,0201003|0201003|0724003,"Con 2 tatamis de 70x200 cm, 140x200x14,5 cm",publish,584,505.48,505.48,NO,2,4,2,0201003 | 0724003,0201003=2 | 0724003=1,201003 | 724003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3733,201003 | 724003,2,NO
3734,3624,0201003|0201003|0724001,"Con 2 tatamis de 70x200 cm, 90x200x14,5 cm",publish,514,437.70,437.70,NO,2,4,2,0201003 | 0724001,0201003=2 | 0724001=1,201003 | 724001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3734,201003 | 724001,2,NO
3735,3624,0201004|0201004|0724003,"Con 2 tatamis de 76x200 cm, 140x200x14,5 cm",publish,584,505.48,505.48,NO,2,4,2,0201004 | 0724003,0201004=2 | 0724003=1,201004 | 724003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3735,201004 | 724003,2,NO
3736,3624,0201004|0201004|0724004,"Con 2 tatamis de 76x200 cm, 150x200x14,5 cm",publish,634,548.58,548.58,NO,2,4,2,0201004 | 0724004,0201004=2 | 0724004=1,201004 | 724004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3736,201004 | 724004,2,NO
3737,3624,0201004|0201004|0724001,"Con 2 tatamis de 76x200 cm, 90x200x14,5 cm",publish,514,437.70,437.70,NO,2,4,2,0201004 | 0724001,0201004=2 | 0724001=1,201004 | 724001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3737,201004 | 724001,2,NO
3738,3624,0201001|0201001|0724003,"Con 2 tatamis de 80x200 cm, 140x200x14,5 cm",publish,584,505.48,505.48,NO,2,4,2,0201001 | 0724003,0201001=2 | 0724003=1,201001 | 724003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3738,201001 | 724003,2,NO
3739,3624,0201001|0201001|0724004,"Con 2 tatamis de 80x200 cm, 150x200x14,5 cm",publish,634,548.58,548.58,NO,2,4,2,0201001 | 0724004,0201001=2 | 0724004=1,201001 | 724004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3739,201001 | 724004,2,NO
3740,3624,0201001|0201001|0724005,"Con 2 tatamis de 80x200 cm, 160x200x14,5 cm",publish,660,570.26,570.26,NO,2,4,2,0201001 | 0724005,0201001=2 | 0724005=1,201001 | 724005,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3740,201001 | 724005,2,NO
3741,3624,0201001|0201001|0724001,"Con 2 tatamis de 80x200 cm, 90x200x14,5 cm",publish,514,437.70,437.70,NO,2,4,2,0201001 | 0724001,0201001=2 | 0724001=1,201001 | 724001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3741,201001 | 724001,2,NO
3742,3624,0201002|0201002|0724003,"Con 2 tatamis de 90x200 cm, 140x200x14,5 cm",publish,584,505.48,505.48,NO,2,4,2,0201002 | 0724003,0201002=2 | 0724003=1,201002 | 724003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3742,201002 | 724003,2,NO
3743,3624,0201002|0201002|0724004,"Con 2 tatamis de 90x200 cm, 150x200x14,5 cm",publish,634,548.58,548.58,NO,2,4,2,0201002 | 0724004,0201002=2 | 0724004=1,201002 | 724004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3743,201002 | 724004,2,NO
3744,3624,0201002|0201002|0724005,"Con 2 tatamis de 90x200 cm, 160x200x14,5 cm",publish,660,570.26,570.26,NO,2,4,2,0201002 | 0724005,0201002=2 | 0724005=1,201002 | 724005,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3744,201002 | 724005,2,NO
3745,3624,0201002|0201002|0724006,"Con 2 tatamis de 90x200 cm, 180x200x14,5 cm",publish,668,576.96,576.96,NO,2,4,2,0201002 | 0724006,0201002=2 | 0724006=1,201002 | 724006,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3745,201002 | 724006,2,NO
3746,3624,0201002|0201002|0724001,"Con 2 tatamis de 90x200 cm, 90x200x14,5 cm",publish,514,437.70,437.70,NO,2,4,2,0201002 | 0724001,0201002=2 | 0724001=1,201002 | 724001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3746,201002 | 724001,2,NO
3753,3629,0502012|1002004,Con cajón,publish,582.00,507.00,507.00,NO,2,4,2,0502012 | 1002004,0502012=1 | 1002004=1,1002004 | 502012,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3753,1002004 | 502012,2,NO
3921,3647,0504012|0730002,"Futón con dos capas de látex, 140x200x14,5 cm, Sin funda",publish,1059,919.90,919.90,NO,2,4,2,0504012 | 0730002,0504012=1 | 0730002=1,504012 | 730002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3921,504012 | 730002,2,NO
3925,3647,0504012|0730002|0608002,"Futón con dos capas de látex, 140x200x14,5 cm, Crudo",publish,1147,991.90,991.90,NO,3,3,3,0504012 | 0608002 | 0730002,0504012=1 | 0608002=1 | 0730002=1,504012 | 608002 | 730002,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3925,504012 | 608002 | 730002,3,NO
3929,3647,0504012|0730002|0616002,"Futón con dos capas de látex, 140x200x14,5 cm, Negro",publish,1147,991.90,991.90,NO,3,3,3,0504012 | 0616002 | 0730002,0504012=1 | 0616002=1 | 0730002=1,504012 | 616002 | 730002,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3929,504012 | 616002 | 730002,3,NO
3933,3647,0504012|0728002,"Futón con una capa de látex, 140x200x14,5 cm, Sin funda",publish,914,799.90,799.90,NO,2,4,2,0504012 | 0728002,0504012=1 | 0728002=1,504012 | 728002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3933,504012 | 728002,2,NO
3937,3647,0504012|0728002|0608002,"Futón con una capa de látex, 140x200x14,5 cm, Crudo",publish,943,871.90,871.90,NO,3,3,3,0504012 | 0608002 | 0728002,0504012=1 | 0608002=1 | 0728002=1,504012 | 608002 | 728002,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3937,504012 | 608002 | 728002,3,NO
3941,3647,0504012|0728002|0616002,"Futón con una capa de látex, 140x200x14,5 cm, Negro",publish,943,871.90,871.90,NO,3,3,3,0504012 | 0616002 | 0728002,0504012=1 | 0616002=1 | 0728002=1,504012 | 616002 | 728002,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3941,504012 | 616002 | 728002,3,NO
3993,3647,0504012|0724003,"Futón de algodón, 140x200x14,5 cm, Sin funda",publish,812,715.90,715.90,NO,2,4,2,0504012 | 0724003,0504012=1 | 0724003=1,504012 | 724003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3993,504012 | 724003,2,NO
3997,3647,0504012|0724003|0608002,"Futón de algodón, 140x200x14,5 cm, Crudo",publish,899,787.90,787.90,NO,3,3,3,0504012 | 0608002 | 0724003,0504012=1 | 0608002=1 | 0724003=1,504012 | 608002 | 724003,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3997,504012 | 608002 | 724003,3,NO
4001,3647,0504012|0724003|0616002,"Futón de algodón, 140x200x14,5 cm, Negro",publish,899,787.90,787.90,NO,3,3,3,0504012 | 0616002 | 0724003,0504012=1 | 0616002=1 | 0724003=1,504012 | 616002 | 724003,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,4001,504012 | 616002 | 724003,3,NO
4005,3648,0504009|0728001,"90x200x8 cm, 90x120x100 cm, 90x200 cm, Futón con una capa de látex, 90x200x14,5 cm, Sin funda",publish,463.19,385.99,385.99,NO,2,4,2,0504009 | 0728001,0504009=1 | 0728001=1,504009 | 728001,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,4005,504009 | 728001,2,NO
4006,3648,0504009|0728001|0615001,"90x200x8 cm, 90x120x100 cm, 90x200 cm, Futón con una capa de látex, 90x200x14,5 cm, Amarillo",publish,491.99,409.99,409.99,NO,3,3,3,0504009 | 0615001 | 0728001,0504009=1 | 0615001=1 | 0728001=1,504009 | 615001 | 728001,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,4006,504009 | 615001 | 728001,3,NO
4007,3648,0504009|0728001|0609001,"90x200x8 cm, 90x120x100 cm, 90x200 cm, Futón con una capa de látex, 90x200x14,5 cm, Azul",publish,491.99,409.99,409.99,NO,3,3,3,0504009 | 0609001 | 0728001,0504009=1 | 0609001=1 | 0728001=1,504009 | 609001 | 728001,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,4007,504009 | 609001 | 728001,3,NO
4009,3648,0504009|0728001|0608001,"90x200x8 cm, 90x120x100 cm, 90x200 cm, Futón con una capa de látex, 90x200x14,5 cm, Crudo",publish,491.99,409.99,409.99,NO,3,6,3,0504009 | 0608001 | 0728001,0504009=1 | 0608001=1 | 0728001=1,504009 | 608001 | 728001,,3,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,4009,504009 | 608001 | 728001,3,NO
